name,author,publisher,family,location
世界观：现代人必须要懂的科学哲学和科学史：an introduction to the history and philosophy of science,德威特,机械工业出版社,历史,一楼A区
德国国家实验室体系的发展历程：德国亥姆霍兹联合会的前世今生,德国亥姆霍兹联合会,科学出版社,历史,一楼A区
锂离子电池组设计手册：电池体系、部件、类型和术语,"沃纳,",清华大学出版社,历史,一楼A区
中文版Photoshop CC 2018完全自学教程,"李金明,李金蓉",人民邮电出版社,历史,一楼A区
马克思主义政治哲学史,"张文喜,臧峰宇",中国人民大学出版社,历史,一楼A区
石氏伤科石印玉临证经验集萃,"石瑛,詹红生",科学出版社,历史,一楼A区
自适应学习：人工智能时代的教育革命,李韧,清华大学出版社,历史,一楼A区
不吃糖的理由：上瘾、疾病与糖的故事,陶布斯,机械工业出版社,历史,一楼A区
千年维新：从周公到光绪,铲史官,东方出版社,历史,一楼A区
高校思想政治理论与实践教学分析,"袁凌新,秦大伟,刘明建",中国纺织出版社,历史,一楼A区
非物质文化遗产视域下传统武术的现代化发展,"王琼,吴强,薛宇",中国纺织出版社,历史,一楼A区
德鲁克管理思想精要：the best of sixty years of Peter Drucker's essential writings on management,德鲁克,机械工业出版社,历史,一楼A区
谈科技·说力学,"武际可,",高等教育出版社,历史,一楼A区
微信小程序项目开发实战：用WePY、mpvue、Taro打造高效的小程序,张帆,电子工业出版社,历史,一楼A区
吸附生化耦合水处理技术：原理与应用：integration of adsorption and biological treatment,"切森,阿克塔斯",化学工业出版社,历史,一楼A区
物联网概论,"王佳斌,郑力新",清华大学出版社,历史,一楼A区
"北京：公共空间和城市生活：1400-1900：temples and city life, 1400-1900",韩书瑞,中国人民大学出版社,历史,一楼A区
中国灾难文化：社会·历史·文艺,"陈安,,牟笛,",中国科学技术出版社,历史,一楼A区
医学发展与展望,张广东,郑州大学出版社,历史,一楼A区
日本建筑的艺术,"扬,扬",华中科技大学出版社,历史,二楼A区
数控机床与编程,郑堤,机械工业出版社,历史,二楼A区
上下四千年 图说中国屋面瓦,"湛轩业,刘孟涵,操儒冰",中国建筑工业出版社,历史,二楼A区
八大重点城市规划：新中国成立初期的城市规划历史研究,李浩,中国建筑工业出版社,历史,二楼A区
牌坊七讲,许康,中国建筑工业出版社,历史,二楼A区
无锡园林十二章,"沙无垢,",中国建筑工业出版社,历史,二楼A区
我们一起走过：北京照明学会成立四十周年纪念专辑,徐华,中国建筑工业出版社,历史,二楼A区
图解自行车大百科,达塔斯奇,化学工业出版社,历史,二楼A区
天与人的对话,"姚建明,",清华大学出版社,历史,二楼A区
书法的故事,任平,浙江文艺出版社,历史,二楼A区
中西流行音乐的多元化发展及现状研究,孙彦峰,中国纺织出版社,历史,二楼A区
视觉传达设计形式原理,李敏,中国纺织出版社,历史,二楼A区
巫术植物,伊纳尔,三联书店,历史,二楼A区
神奇的海参,"刘淇,曹荣,王宇夫",中国农业出版社,历史,二楼A区
时装设计元素：时尚珠宝设计,高尔顿,中国纺织出版社,历史,二楼A区
剑与盾之歌：人类对抗病毒的精彩瞬间,刘欢,科学出版社,历史,二楼A区
中国植物园标准体系：界定标准、技术规范、绩效评价与认证体系,"黄宏文,廖景平,张征",科学出版社,历史,二楼A区
"看漫画, 学微积分",高尼克,机械工业出版社,历史,二楼A区
海派园林意蕴：民国时期上海私家园林研究：study on private gardens in Shanghai during the republic of China,"陈喆华,",中国建筑工业出版社,历史,二楼A区
传统山水画中的古代建筑形态研究,席田鹿,中国建筑工业出版社,历史,一楼B区
北京城市总体规划：2016年-2035年,"中国共产党,北京市",中国建筑工业出版社,历史,一楼B区
中国现代建筑史,"邹德侬,,张向炜,戴路",中国建筑工业出版社,历史,一楼B区
深圳城市平面格局演进,罗军,中国建筑工业出版社,历史,一楼B区
张家口市域历史建筑普查与保护策略研究,"田建军,,单彦名,赵亮",中国建筑工业出版社,历史,一楼B区
耶鲁极简科学史,拜纳姆,中信出版集团股份有限公司,历史,一楼B区
故宫古建筑结构分析与保护,周乾,知识产权出版社,历史,一楼B区
碱激发材料：RILEM最新技术发展报告：TC 224-AAM,"普罗维斯,范德文特",中国建材工业出版社,历史,一楼B区
茶道与日本文化的渊源与发展,易洪艳,中国纺织出版社,历史,一楼B区
数字密码：1到200的身世之迷：from 1 to 200 the hidden language of numbers revealed,尼德曼,上海科技教育出版社,历史,二楼B区
中国建筑常识,"林徽因,",天地出版社,历史,二楼B区
科技创新300年,韦火,南方日报出版社,历史,二楼B区
基于失效模式的起重装备服役健康监测,"丁克勤,刘关四",机械工业出版社,大数据,二楼B区
大数据与人工智能研究,"王莉,宋兴祖,陈志宝",中国纺织出版社,大数据,二楼B区
R语言,"程显毅,",清华大学出版社,大数据,二楼B区
无人驾驶：人工智能如何颠覆汽车,"刘少山,李力耘,唐洁",机械工业出版社,大数据,二楼B区
Hadoop应用开发基础,"刘雯,王文兵",人民邮电出版社,大数据,二楼B区
数据科学实战之网络爬取：Python实践和示例,"布鲁克,巴森斯",机械工业出版社,大数据,二楼B区
风向：如何应对互联网变革下的知识焦虑、不确定与个人成长,何宝宏,人民邮电出版社,大数据,二楼B区
大数据驱动的设备健康预测及维护决策优化,"董明,刘勤明",清华大学出版社,大数据,二楼B区
分布式优化、学习理论与方法,陈为胜,科学出版社,大数据,三楼A区
"数据战略：如何从大数据、数据分析和万物互联中获利：How to profit from a world of big date, Analytics and the internet of things",马尔,机械工业出版社,大数据,三楼A区
大数据可视化,"王文,周苏",机械工业出版社,大数据,三楼A区
大数据搜索引擎原理分析,刘凡平,电子工业出版社,大数据,三楼A区
相互保险：定义保险新方式：define a new insurance mode,陈辉,中国经济出版社,大数据,三楼A区
面向低占空比无线传感器网络的数据传输协议研究,"史培中,葛春鹏,古春生",科学出版社,大数据,三楼A区
机器学习：因子分解机模型与推荐系统,"燕彩蓉,潘乔",科学出版社,大数据,三楼A区
隐私敏感移动性模式网络的净化方法研究,张海涛,科学出版社,大数据,三楼A区
从零开始学Hadoop大数据分析：视频教学版,"温春水,毕洁馨",机械工业出版社,大数据,三楼A区
物联网概论,"王佳斌,郑力新",清华大学出版社,大数据,五楼C区
大数据专业英语教程,"张强华,刘俊辉,郑聪玲",清华大学出版社,大数据,五楼C区
众包地理知识：志愿式地理信息理论与实践：volunteered geographic information (VGI) in theory and practice,"隋殿志,埃尔伍德,古德柴尔德",高等教育出版社,大数据,五楼C区
OpenStack云平台部署与高可用实战,"肖睿,雷宇飞",人民邮电出版社,大数据,五楼C区
能源大数据时代,"孙艺新,吴文炤",人民邮电出版社,大数据,五楼C区
数据库原理与应用：SQL Server,赵明渊,电子工业出版社,大数据,五楼C区
应用化学前沿及创新方法,"张芳,林木松,杨晓焱",化学工业出版社,大数据,五楼C区
信息安全分析学：大数据视角下安全的内核、模式和异常,"塔拉比斯,麦克弗森,宫本",清华大学出版社,大数据,五楼C区
数据库技术与应用：SQL Server 2012,张建国,清华大学出版社,大数据,五楼C区
电力大数据应用工程技术原理与案例分析,陈文康,清华大学出版社,大数据,五楼C区
智能电网基本理念与关键技术,余贻鑫,科学出版社,大数据,五楼C区
大学计算机,"王移芝,鲁凌云,许宏丽",高等教育出版社,大数据,五楼C区
健康中国与转化医学,中国工程院,高等教育出版社,大数据,五楼C区
"计算机时代的统计推断：算法、演化和数据科学：algorithms, evidence, and data science","埃夫隆,黑斯蒂",机械工业出版社,大数据,四楼A区
城市空间形态与空气污染治理,袁满,中国建筑工业出版社,大数据,四楼A区
北京国际油气管道论坛论文集,孟繁春主编,石油工业出版社,大数据,四楼A区
探索历史大数据：历史学家的宏观视角：the historian's macroscope,"格雷厄姆,米利根,魏因加特",浙江大学出版社,大数据,四楼A区
空间信息并行处理方法与技术,"黄方,王力哲,谭喜成",科学出版社,大数据,四楼A区
大数据的Python基础,董付国,机械工业出版社,大数据,四楼A区
网络创新指数研究,"汪小梅,万映红,岳英",机械工业出版社,大数据,四楼A区
R大数据分析实用指南,沃克威克,人民邮电出版社,大数据,四楼A区
投资决策分析与优化：基于前景理论,龚超,电子工业出版社,大数据,四楼A区
数字化金融：人工智能、区块链、云计算、大数据与数字文化：improving your bank's digital future by making technology changes now,贝斯特,人民邮电出版社,大数据,四楼A区
大数据时代信息资源检索与分析,"康桂英,明道福,吴晓兵",北京理工大学出版社,大数据,四楼A区
高水平人才培养体系建设理论与方法研究,阮青松,北京大学出版社,大数据,四楼A区
大数据与竞争政策,"斯图克,格鲁内斯",法律出版社,大数据,四楼A区
变革的逻辑：新技术驱动下的中国法律服务,"蒋勇,邹一娇",中国政法大学出版社,大数据,四楼A区
新金融 新格局：中国经济改革新思路,"巴曙松,",浙江大学出版社,大数据,四楼A区
智能零售：全新的技术、场景、消费与商业模式,"王超,刘立丰",浙江大学出版社,大数据,四楼A区
大数据时代的商业分析,"钱伯斯,丁斯莫尔",中国人民大学出版社,大数据,三楼A区
